layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
38700;150200;33811000;33999900
33000;218600;33110300;33361900
155500;223900;32946700;33326100
45800;224800;37635700;37906300
32100;252100;32611100;32895300
32600;217700;33002400;33252700
30000;248700;33186800;33465500
37800;254700;33167200;33459700
35800;221500;34145500;34402800
34900;205300;32591900;32832100
34600;227700;32269500;32531800
35200;230000;32201400;32466600
35000;229000;34659900;34923900
57000;208500;32854600;33120100
38900;248600;33261400;33548900
66600;233100;33532300;33832000
34800;238700;34407200;34680700
30600;215400;32861800;33107800
34700;240100;33529100;33803900
36000;250400;32647800;32934200

Mean
43980;226950;33421680;33692610
