layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
24500;313100;10353000;10690600
19500;219700;10559700;10798900
24000;285800;10440600;10750400
17700;201900;10277500;10497100
17700;191900;10081200;10290800
51400;246500;10256600;10554500
19900;272800;10027600;10320300
17100;300700;10207800;10525600
16100;221500;10366700;10604300
21000;240100;14991800;15252900
19200;357600;13184200;13561000
23200;259200;10803800;11086200
18300;237800;10669100;10925200
19400;229400;10325600;10574400
17400;184200;10380200;10581800
15600;157800;10567100;10740500
15900;153700;10629900;10799500
22300;219000;10506100;10747400
17900;187600;10586800;10792300
16100;174700;10376600;10567400

Mean
20710;232750;10779595;11033055
