layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
31200;194200;33064500;33289900
43700;245000;34894400;35183100
31500;228100;32768800;33028400
35300;241600;32993900;33270800
29400;226700;32817300;33073400
37800;260400;35500500;35798700
31300;236800;33431700;33699800
40000;226900;33144100;33411000
39000;325400;32471100;32835500
29400;244900;33563700;33838000
33500;223100;34912800;35169400
33700;238400;32706200;32978300
33600;254000;33487200;33774800
30900;246900;31533700;31811500
37500;213400;34239600;34490500
32600;305900;32726000;33064500
36000;240300;32864900;33141200
34000;254400;33057300;33345700
36100;231800;33070700;33338600
72200;238300;33819500;34130000

Mean
36435;243825;33353395;33633655
