layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
82000;175500;20674900;20932400
17400;239700;23252600;23509700
19500;280200;21120900;21420600
20000;248800;20712500;20981300
20500;283600;20145400;20449500
17300;225500;19901400;20144200
18300;227100;21550400;21795800
17900;275700;20467200;20760800
19300;257100;22963800;23240200
21100;337500;20997600;21356200
19800;249800;20949600;21219200
52100;432700;21644800;22129600
25600;351600;20959100;21336300
19400;249100;20918300;21186800
19900;259900;20578800;20858600
19000;240400;26229100;26488500
21500;354800;31584300;31960600
20500;333300;31365500;31719300
22300;318200;22197300;22537800
21900;272200;19822200;20116300

Mean
24765;280635;22401785;22707185
