layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
54900;233509300;-206517700;27046500
122500;227155000;-201671600;25605900
90300;225056700;-207065400;18081600
121700;219964900;-206004800;14081800
112400;219896300;-212111000;7897700
128300;216886200;-207898900;9115600
110000;218915500;-209203100;9822400
102800;218058600;-210072500;8088900
86400;215423300;-218405300;-2895600
106800;216204300;-215035800;1275300
132800;217633800;-213529400;4237200
113700;222847700;-213914400;9047000
121400;222633200;-211421700;11332900
115300;212674100;-210375300;2414100
106800;218400100;-227550000;-9043100
92200;213259200;-226424400;-13073000
91700;216186100;-208169100;8108700
89200;218538700;-210598700;8029200
72900;213142900;-211473800;1742000
124700;215590200;-225513000;-9798100

Mean
104840;219098805;-212647795;6555850
