layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
43700;225829700;-340759900;-114886500
111800;220866700;-342975600;-121997100
114600;222003700;-341996900;-119878600
114400;226065800;-350345900;-124165700
60000;229869000;-326669000;-96740000
121100;230134300;-365302100;-135046700
119200;222388900;-352845100;-130337000
140100;219440500;-356076300;-136495700
127200;228048700;-362490800;-134314900
118700;221236800;-362348900;-140993400
114300;222757400;-360931500;-138059800
153900;226775300;-365721100;-138791900
101900;235017600;-312933300;-77813800
122600;287852000;-343973800;-55999200
176400;370097600;-342332400;27941600
139200;225532900;-293927900;-68255800
197200;222875000;-363669000;-140596800
118000;216108900;-364189200;-147962300
107200;222281000;-344544300;-122156100
114000;226070300;-338221000;-112036700

Mean
120775;235062605;-346612700;-111429320
