layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
123200;563512600;-216479800;347156000
127400;535026900;-213033500;322120800
143300;559798900;-207330000;352612200
109900;562946000;-209766800;353289100
97200;546544600;-218992500;327649300
206900;542864000;-223368700;319702200
108900;536288700;-218998200;317399400
71100;532250000;-217347300;314973800
77200;526020700;-222408000;303689900
112400;527446500;-328805400;198753500
108000;529756200;-219928600;309935600
67600;531305300;-227794200;303578700
43600;524298000;-217191800;307149800
30400;523444800;-224067200;299408000
102500;539479200;-219219300;320362400
103900;548545400;-211872500;336776800
98400;544018400;-221232100;322884700
124300;532918500;-227468500;305574300
98600;538220000;-204124100;334194500
113100;546354000;-215643800;330823300

Mean
103395;539551935;-223253615;316401715
