layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
29900;1476217800;-440731700;1035516000
85400;1459191800;-439918900;1019358300
131300;1492728500;-415148500;1077711300
115500;1495654800;-429802700;1065967600
114600;1471552400;-425423400;1046243600
121800;1481716500;-431828700;1050009600
108200;1483207000;-425120100;1058195100
123200;1476715100;-420398000;1056440300
165200;1477727400;-417975100;1059917500
111500;1473133600;-419031600;1054213500
120800;1489374400;-426874900;1062620300
142100;1482487700;-449643000;1032986800
114900;1492619300;-411886100;1080848100
126400;1493624700;-422208900;1071542200
91500;1482128500;-475451400;1006768600
91300;1487030100;-563215500;923905900
89100;1485522900;-443536400;1042075600
106500;1488965800;-462822600;1026249700
103700;1497952900;-434305000;1063751600
118500;1476238700;-434376500;1041980700

Mean
110570;1483189495;-439484950;1043815115
