layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
20500;1503195700;-725197400;778018800
131500;1515027100;-766860200;748298400
108100;1513914800;-701643900;812379000
80900;1676840200;-691913500;985007600
117100;1502640500;-763630700;739126900
88900;1564884600;-749447100;815526400
99500;1541640100;-735917300;805822300
97800;1557379600;-723652100;833825300
143000;1563251000;-696937900;866456100
135600;1560806300;-735999000;824942900
92700;1538437500;-807467300;731062900
103900;1564884500;-1262512400;302476000
131200;1533796400;-1132075000;401852600
106900;1526681100;-928932000;597856000
91600;1517954600;-870610800;647435400
119400;1538401300;-836241200;702279500
120100;1564302200;-962060700;602361600
95700;1506729500;-819948900;686876300
127400;1538497700;-776753100;761872000
97500;1525047000;-806805800;718338700

Mean
105465;1542715585;-824730315;718090735
