layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
84400;233997300;89357800;323439500
152800;227597000;94924000;322673800
125500;225537500;87350000;313013000
154400;220427400;87511200;308093000
150500;220364300;85447700;305962500
160600;217353100;86066800;303580500
144400;219346500;84085300;303576200
134600;218570500;86255300;304960400
118900;215865600;86437200;302421700
150900;216826800;87149000;304126700
168300;218105100;87510700;305784100
147300;223303000;89356200;312806500
153000;223079500;85821600;309054100
148600;213146000;87416300;300710900
139800;218841800;84530300;303511900
130600;213773100;86427700;300331400
127100;216633200;87171700;303932000
121100;219039500;84624500;303785100
120900;213706800;87936800;301764500
160400;216084500;86669600;302914500

Mean
139705;219579925;87102485;306822115
