layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
85100;226181700;154476200;380743000
153800;221402500;157454400;379010700
154800;222799000;162705100;385658900
162500;226782500;163750500;390695500
161900;230358600;165297600;395818100
171700;230549400;154843900;385565000
161300;222825000;156610400;379596700
175800;219868500;152701600;372745900
167900;228563300;155518600;384249800
153900;221749400;156304200;378207500
160200;223265500;155606000;379031700
190100;227233500;161203400;388627000
150000;235423900;195196900;430770800
157900;288334400;198865900;487358200
210400;370532600;167893700;538636700
173400;226014300;213882800;440070500
234000;223283700;156382600;379900300
152700;216520800;154249100;370922600
149400;222729800;157178100;380057300
150900;226598400;151973200;378722500

Mean
163885;235550840;164604710;400319435
