layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
82100;1477044000;170261500;1647387600
148100;1460149300;176313600;1636611000
166700;1493788700;180451500;1674406900
162400;1496610200;170278100;1667050700
151700;1472587500;173539200;1646278400
155800;1482640200;170855700;1653651700
142400;1484137500;175137600;1659417500
160100;1477646900;178367900;1656174900
198200;1478641800;166707600;1645547600
147300;1474077700;169535200;1643760200
155200;1490290500;171708900;1662154600
184100;1483402800;171231600;1654818500
163100;1493742200;184634200;1678539500
161100;1494507100;183584200;1678252400
146600;1483073900;170535300;1653755800
137500;1487983200;188207900;1676328600
134600;1486473600;180106200;1666714400
144800;1489914300;181399700;1671458800
139700;1498853800;178686100;1677679600
156100;1477153400;188633400;1665942900

Mean
151880;1484135930;176508770;1660796580
