layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
29500;488000;295875500;296393000
30300;442000;296595600;297067900
35200;480800;294415400;294931400
32700;462500;293516000;294011200
38100;468000;297558700;298064800
32300;466900;293965700;294464900
34400;431000;293288400;293753800
31800;511900;296327800;296871500
32500;442300;304842500;305317300
44100;622500;302184800;302851400
35500;471300;301040100;301546900
33600;455300;303270600;303759500
31600;446300;297243300;297721200
33300;471900;297791600;298296800
33000;441700;312080300;312555000
38400;513900;312852100;313404400
35400;447100;295340800;295823300
31900;500800;295223200;295755900
48000;563900;299410600;300022500
35700;494300;312182600;312712600

Mean
34865;481120;299750280;300266265
