layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
41400;352000;495236100;495629500
42000;535800;500430000;501007800
40200;795300;504702000;505537500
48100;716700;514096400;514861200
101900;489600;491966600;492558100
50600;415100;520146000;520611700
42100;436100;509455500;509933700
35700;428000;508777900;509241600
40700;514600;518009400;518564700
35200;512600;518653100;519200900
45900;508100;516537500;517091500
36200;458200;526924500;527418900
48100;406300;508130200;508584600
35300;482400;542839700;543357400
34000;435000;510226100;510695100
34200;481400;507810700;508326300
36800;408700;520051600;520497100
34700;411900;518438300;518884900
42200;448800;501722400;502213400
36900;528100;490194200;490759200

Mean
43110;488235;511217410;511748755
