layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
42400;614100;301696700;302353200
35000;664900;303394900;304094800
33600;674800;299730400;300438800
33200;667100;304073500;304773800
32500;669000;305190100;305891600
37000;731700;312480100;313248800
33400;694500;305395600;306123500
39300;623500;301788400;302451200
39100;695600;308202500;308937200
34700;633700;416035900;416704300
34500;647000;305220300;305901800
48700;745600;310686600;311480900
67800;708100;301766800;302542700
81600;693400;310906900;311681900
35100;666600;307360900;308062600
34500;662600;302951000;303648100
34700;622300;308272000;308929000
37200;697900;312143300;312878400
35200;640400;298164200;298839800
39300;687200;302828600;303555100

Mean
40440;672000;310914435;311626875
