layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
52200;826200;610993200;611871600
62700;957500;616232500;617252700
35400;1060200;595600000;596695600
46900;955400;600080800;601083100
37100;1035100;598962600;600034800
34000;923700;602684400;603642100
34200;930500;600257700;601222400
36900;931800;598765900;599734600
33000;914400;584682700;585630100
35800;944100;588566800;589546700
34400;916100;598583800;599534300
42000;915100;620874600;621831700
48200;1122900;596520300;597691400
34700;882400;605793100;606710200
55100;945400;645986700;646987200
46200;953100;751423400;752422700
45500;950700;623642600;624638800
38300;948500;644222300;645209100
36000;900900;612991100;613928000
37600;914700;623009900;623962200

Mean
41310;946435;615993720;616981465
