layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
49900;868900;1036871900;1037790700
36900;838400;1072390600;1073265900
36300;863900;1018554700;1019454900
37100;900000;1010093500;1011030600
40600;845200;1100132100;1101017900
39200;867200;1062483500;1063389900
35700;933100;1051883900;1052852700
38600;908400;1046683700;1047630700
35300;860300;1024267300;1025162900
35900;941100;1058643800;1059620800
36300;896700;1143645200;1144578200
40200;960300;1583144600;1584145100
36200;995400;1451342100;1452373700
45200;1215800;1245040600;1246301600
55300;992400;1182627400;1183675100
37700;902500;1148846600;1149786800
43400;872100;1265472400;1266387900
37400;926300;1140125000;1141088700
41400;904700;1100281800;1101227900
38900;1044800;1123018100;1124101800

Mean
39875;926875;1143277440;1144244190
