layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
3810900;4626753700;-971276800;3659287800
66300;4515545700;-1156687200;3358924800
129300;4450857100;-981537600;3469448800
159900;4328675700;-927702500;3401133100
190000;4257886100;-799039700;3459036400
116800;4440960500;-850702300;3590375000
159900;4510820300;-856805500;3654174700
222100;4422075900;-1004957800;3417340200
101200;4497784300;-1023889300;3473996200
85200;4520813400;-997367200;3523531400
124700;4876049200;-704344200;4171829700
114400;4778593300;-807177800;3971529900
165400;5450165800;-1006243000;4444088200
181800;4880895400;-1016520200;3864557000
101900;5106117200;-921156900;4185062200
152200;5324118600;-717559000;4606711800
220200;6259624600;-906382100;5353462700
105100;5004633800;-860540400;4144198500
82100;4774583000;-762910900;4011754200
151600;4879349000;-731814000;4147686600

Mean
322050;4795315130;-900230720;3895406460
