layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
93400;10645349500;-2653322500;7992120400
113700;10707218600;-2356143100;8351189200
144200;10701815800;-2202086800;8499873200
132900;10702527200;-2676076700;8026583400
130900;10613478500;-2422046900;8191562500
223400;10353193600;-2722389900;7631027100
125300;9972679500;-2961157700;7011647100
127300;9999510200;-2661917800;7337719700
130300;10221448500;-2702398800;7519180000
135700;10152340200;-2700874700;7451601200
120600;10390610600;-2610966300;7779764900
85400;10168930800;-2494417000;7674599200
97700;10298999000;-2514349000;7784747700
112300;10139581000;-2460192900;7679500400
141400;10175055600;-2330285400;7844911600
135400;10329230400;-2550321900;7779043900
215200;10984356600;-2571555700;8413016100
132500;10471912600;-2565725000;7906320100
290000;10578992400;-2623259100;7956023300
157700;10276697200;-2649376900;7627478000

Mean
142265;10394196390;-2571443205;7822895450
