layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
3839200;4628042500;249712100;4881593800
113600;4517386900;304912400;4822412900
159000;4452211900;290835100;4743206000
191800;4329999200;251649600;4581840600
217400;4259216700;258013500;4517447600
162200;4442260500;267362700;4709785400
193400;4512627500;266601900;4779422800
273200;4423344000;280294700;4703911900
187000;4499634900;333230900;4833052800
143700;4522796700;245357800;4768298200
156900;4877880200;311090200;5189127300
138900;4779858600;261158800;5041156300
190000;5452006600;311764000;5763960600
213000;4882239300;301865900;5184318200
126000;5107355300;354254700;5461736000
186000;5325963700;421190400;5747340100
250300;6261422300;359331800;6621004400
130800;5005921300;265621700;5271673800
106600;4775804200;329552300;5105463100
178000;4881284800;255551400;5137014200

Mean
357850;4796862855;295967595;5093188300
