layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
28300;1288800;1220988900;1222306000
47300;1841200;1461599600;1463488100
29700;1354800;1272372700;1273757200
31900;1323500;1179352100;1180707500
27400;1330600;1057053200;1058411200
45400;1300000;1118065000;1119410400
33500;1807200;1123407400;1125248100
51100;1268100;1285252500;1286571700
85800;1850600;1357120200;1359056600
58500;1983300;1242725000;1244766800
32200;1831000;1015434400;1017297600
24500;1265300;1068336600;1069626400
24600;1840800;1318007000;1319872400
31200;1343900;1318386100;1319761200
24100;1238100;1275411600;1276673800
33800;1845100;1138749400;1140628300
30100;1797700;1265713900;1267541700
25700;1287500;1126162100;1127475300
24500;1221200;1092463200;1093708900
26400;1935800;987365400;989327600

Mean
35800;1547725;1196198315;1197781840
