layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
38600;2308800;1114188700;1116536100
37000;2718100;966893600;969648700
22800;2099000;980287100;982408900
40000;3202100;999360300;1002602400
46400;2274400;1111071500;1113392300
67800;2396700;973758600;976223100
24000;2227900;946610700;948862600
22000;2157400;1020145200;1022324600
32800;2735200;1061422700;1064190700
31000;3243600;987616800;990891400
24600;2116600;1131420900;1133562100
26200;2754400;1010562600;1013343200
23700;2185500;933025200;935234400
23400;2190000;946327100;948540500
48800;3463400;1015099600;1018611800
24300;2087700;990178500;992290500
24400;3169400;1106470100;1109663900
25800;2156100;1013536600;1015718500
29200;2446500;982057900;984533600
24700;2118700;996551500;998694900

Mean
31875;2502575;1014329260;1016863710
