layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
24000;2132800;-6966400;-4809600
21100;2708500;-6746200;-4016600
17700;2058200;-9040400;-6964500
41700;2015900;-6326600;-4269000
15200;2024900;-6513400;-4473300
19200;2034700;-6520800;-4466900
18500;2419000;-6612500;-4175000
25600;2142000;-6668800;-4501200
17100;2233100;-6783300;-4533100
14600;2183500;-6460400;-4262300
18700;2136000;-6278800;-4124100
20900;2230000;-7028700;-4777800
8500;2131800;-6631400;-4491100
18300;2257100;-6621700;-4346300
17900;2291400;-6509200;-4199900
10100;2273100;-11438500;-9155300
10100;2588200;-12073100;-9474800
27100;2371300;-11428700;-9030300
20000;2667300;-11652400;-8965100
25100;2660600;-11576500;-8890800

Mean
19570;2277970;-7993890;-5696350
