layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3393900;2027700;2227600;7649200
55900;2135200;2333000;4524100
59700;1901400;2335000;4296100
41000;1898900;2327100;4267000
39600;1906200;2337800;4283600
40400;1955800;2328600;4324800
39200;1976400;2327200;4342800
41200;2088400;2330400;4460000
46000;2077800;2442600;4566400
42700;2078400;2446300;4567400
39800;2221100;2446900;4707800
78300;2210700;2457900;4746900
67600;2492700;2542700;5103000
94400;2288800;2450800;4834000
55200;2263000;2457600;4775800
40300;2377300;2423200;4840800
42500;2004100;2445200;4491800
40100;1834300;2457400;4331800
39400;1848800;2502200;4390400
48000;2136200;2603000;4787200

Mean
217260;2086160;2411125;4714545
