layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
26900;153600;9168900;9349400
32500;193700;9077400;9303600
21200;155600;10589600;10766400
26600;265000;9234800;9526400
25100;170000;9059200;9254300
21400;147000;8976300;9144700
21200;124700;8979600;9125500
22700;156600;8994000;9173300
49700;157100;8952900;9159700
22000;126200;9810600;9958800
25700;246800;17570100;17842600
23700;303200;9505100;9832000
30900;251300;9041100;9323300
24700;188700;9007500;9220900
25300;205800;9017800;9248900
46800;189600;10679100;10915500
41200;216100;9019300;9276600
24100;185300;9108800;9318200
28700;184400;9280900;9494000
25500;241400;9094900;9361800

Mean
28295;193105;9708395;9929795
