layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
58400;165500;18164200;18388100
46300;230000;18013400;18289700
16800;199800;17483000;17699600
37800;230800;16972500;17241100
16900;246100;18337900;18600900
17700;229200;19769200;20016100
18300;195200;17459900;17673400
17200;211400;17588700;17817300
20900;194000;17713400;17928300
20300;206000;17724000;17950300
23900;192500;17693300;17909700
21700;174100;17826500;18022300
20300;250100;17096100;17366500
16800;669700;19944200;20630700
19700;248600;20117600;20385900
32000;346000;17457400;17835400
18400;221600;17269300;17509300
17000;146700;17416800;17580500
56800;184200;17220100;17461100
22900;226200;17469500;17718600

Mean
26005;238385;17936850;18201240
