layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
19600;155585900;-46057200;109548300
53800;118017400;-47400100;70671100
69800;131550700;-43534000;88086500
42100;128663400;-46280400;82425100
62400;117577700;-46763400;70876700
46900;116145300;-48396800;67795400
40900;115549900;-46360000;69230800
52900;120189300;-45370500;74871700
50100;118903000;-44754500;74198600
58000;116674800;-45287500;71445300
58600;116929000;-48217600;68770000
49200;120679500;-45606800;75121900
61600;116173300;-48651600;67583300
50200;118038600;-45853200;72235600
51800;116730500;-46097700;70684600
100100;118023200;-44970700;73152600
50400;115333800;-47876800;67507400
46000;117021900;-45059700;72008200
59500;118735500;-46621100;72173900
37100;119369500;-45135800;74270800

Mean
53050;120794610;-46214770;74632890
