layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
45200;332202500;-93297900;238949800
56100;319767600;-93406600;226417100
64400;317775800;-90133800;227706400
89000;315892100;-93329500;222651600
78500;315181100;-93228800;222030800
66100;314475800;-95352500;219189400
81200;314980500;-92254000;222807700
98600;314798900;-91040300;223857200
84400;317782100;-91383800;226482700
76700;313127100;-91838900;221364900
59300;312548700;-90161100;222446900
51600;317530100;-93517100;224064600
42900;313936400;-91656900;222322400
66300;317979100;-94030300;224015100
61200;318616900;-92236600;226441500
60500;313508000;-94868600;218699900
65700;312420300;-93961700;218524300
80100;317575400;-93995900;223659600
62800;313639100;-91449500;222252400
112100;317283900;-92006100;225389900

Mean
70135;316551070;-92657495;223963710
