layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3351100;48500200;122254100;174105400
152800;47622500;120698000;168473300
184700;50577800;122085300;172847800
188900;47761800;121618300;169569000
194000;49777000;116352800;166323800
147300;49317700;119862300;169327300
177900;47507600;119154900;166840400
181400;49782500;118657100;168621000
162100;46688100;119552700;166402900
216200;49368000;121488700;171072900
199600;47248900;117878700;165327200
135700;49584700;119240400;168960800
167900;48083300;119307900;167559100
188100;46852600;117442400;164483100
205800;48994300;119289900;168490000
170300;47663500;120656400;168490200
167000;51276900;118629900;170073800
151200;47383600;119724100;167258900
153400;48769900;122269000;171192300
154600;53832200;120366800;174353600

Mean
332500;48829655;119826485;168988640
