layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
42700;155887900;16959500;172890100
80000;118409700;16614400;135104100
97400;131939800;18217900;150255100
69800;129030300;16986200;146086300
85800;117956400;16656000;134698200
71500;116533100;16561600;133166200
65600;115940800;16683400;132689800
77800;120796000;17270600;138144400
71900;119250900;16969000;136291800
80000;117131700;16506100;133717800
81300;117305400;16810300;134197000
74900;121125600;16970300;138170800
85900;116599800;16671200;133356900
75700;118413300;17208000;135697000
77200;117117100;17781400;134975700
124400;118478600;16712200;135315200
75900;115756800;16792600;132625300
70400;117393900;16973700;134438000
82300;119146100;16906300;136134700
60600;119768100;16907400;136736100

Mean
77555;121199065;16957905;138234525
