layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
128300;117159400;119625800;236913500
186700;116894600;117366700;234448000
139500;117429400;118047500;235616400
169800;116743900;117819100;234732800
165800;115513500;119518800;235198100
172900;115584000;118057500;233814400
233700;116894400;118746800;235874900
183200;117315900;118748200;236247300
131500;117015900;118681400;235828800
153200;120903000;117793200;238849400
166300;116310700;119895800;236372800
152500;119611300;120496600;240260400
141400;118941500;119820300;238903200
139200;120918500;118349600;239407300
176000;118398800;118883900;237458700
140300;116750100;117000000;233890400
133600;116941500;118955200;236030300
159300;115432900;120134100;235726300
158900;116292400;117379200;233830500
149400;116407400;120264900;236821700

Mean
159075;117372955;118779230;236311260
