layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
102900;319124500;233845300;553072700
159700;318187200;234686200;553033100
175800;321382200;234005700;555563700
145000;325104300;244524500;569773800
197700;338205300;250400200;588803200
186500;325306600;248817700;574310800
171400;323163200;239201400;562536000
158300;314154900;238005300;552318500
160100;316920900;238204500;555285500
173900;314900900;234354100;549428900
163300;317835900;233349900;551349100
165300;311993600;233807400;545966300
171300;317391200;232222600;549785100
167500;316680600;236615300;553463400
176900;317338600;236841400;554356900
176300;318208000;240954300;559338600
175400;314711700;235642000;550529100
194500;312588100;240182600;552965200
157600;313849300;236554300;550561200
164500;309385000;236928600;546478100

Mean
167195;318321600;237957165;556445960
