layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
49400;302700;334116000;334468100
41300;418100;333833300;334292700
47300;382900;330204300;330634500
42500;412000;332049100;332503600
48600;422500;333088100;333559200
463800;409300;332116700;332989800
77900;394800;331799200;332271900
38700;417900;333319900;333776500
39500;402400;333574500;334016400
43000;420800;329075700;329539500
41600;431000;334698500;335171100
39800;388400;332653000;333081200
40000;431400;332626600;333098000
40700;425800;332469400;332935900
39400;408700;334486300;334934400
45600;403600;332988800;333438000
41900;426600;334332500;334801000
46400;409700;331777700;332233800
41900;448400;332582200;333072500
46600;432500;331985100;332464200

Mean
65795;409475;332688845;333164115
