layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
43700;455300;665421400;665920400
39900;583200;670858400;671481500
41500;549300;664615600;665206400
39700;590200;672524700;673154600
40600;502200;668088800;668631600
40900;511700;664496800;665049400
40600;498100;667246100;667784800
42700;530600;667107800;667681100
41500;553700;670896900;671492100
46800;493000;663891600;664431400
40300;526300;664583200;665149800
40400;533800;663407500;663981700
40200;568300;664548600;665157100
46000;524600;663352100;663922700
44600;485600;669847900;670378100
40800;496400;664870300;665407500
65400;501400;669752500;670319300
68900;643200;671916600;672628700
37300;542900;665857800;666438000
39000;493900;666340000;666872900

Mean
44040;529185;666981230;667554455
