layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
23600;156500;64374999;64555099
24100;187500;60809900;61021500
23000;221800;60543500;60788300
22801;198700;59015300;59236801
22499;197200;60381001;60600700
22600;227300;60396300;60646200
22599;196800;60846101;61065500
24700;225100;61281500;61531300
24501;202899;58852599;59079999
22500;186600;61959200;62168300
23300;226800;59447499;59697599
22300;209800;60295000;60527100
23000;238199;58792600;59053799
22500;197299;61994501;62214300
22800;230000;61560000;61812800
24699;251400;61551101;61827200
23201;220199;58648600;58892000
23100;256600;61196600;61476300
25900;218300;60093999;60338199
21800;215600;59947500;60184900

Mean
23275;213229;60599390;60835894
