layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3541200;523100;-13233400;-9169100
80400;365299;-12730900;-12285201
46700;479000;-13464300;-12938600
28700;331000;-12733200;-12373500
30700;616001;-6911300;-6264599
103100;819199;-7410899;-6488600
66199;586901;-6745200;-6092100
56400;420899;-6811601;-6334302
27099;482599;-6771199;-6261501
57098;507202;-6939499;-6375199
3401;496801;-7001701;-6501499
78200;544000;-6937501;-6315301
33799;483099;-7562699;-7045801
29600;371400;-7030700;-6629700
31301;366599;-8397102;-7999202
25901;443600;-6779801;-6310300
45300;462700;-6851700;-6343700
38600;461600;-6813500;-6313300
34499;431601;-6998100;-6532000
32501;641801;-5511800;-4837498

Mean
219534;491720;-8181805;-7470550
