layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
42100;448500;-6891601;-6401001
21501;438700;-6880701;-6420500
7099;386600;-6809700;-6416001
24799;342801;-6750700;-6383100
23201;239900;-6411200;-6148099
24400;419699;-8221000;-7776901
21501;350200;-6585800;-6214099
42701;361699;-6656499;-6252099
21499;261701;-6057600;-5774400
35399;439500;-6179699;-5704800
21600;307201;-6534801;-6206000
27899;327201;-6369200;-6014100
11300;316399;-6083100;-5755401
48701;338300;-6432701;-6045700
60100;521199;-6317799;-5736500
17799;439500;-6898200;-6440901
17500;503801;-8126201;-7604900
32700;320200;-6452001;-6099101
16900;423300;-6408799;-5968599
-5801;394200;-6423900;-6035501

Mean
25644;379030;-6674560;-6269885
