layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
15600;1095699;-13745200;-12633901
94300;1002900;-14165200;-13068000
35100;908699;-13454000;-12510201
46300;1035900;-15940800;-14858600
33099;954600;-11715298;-10727599
-4300;1097200;-11984999;-10892099
-4300;984700;-11969600;-10989200
105500;1158400;-12431699;-11167799
57800;1178599;-15296999;-14060600
66000;1045199;-12417400;-11306201
54300;1181900;-11920599;-10684399
118800;1200601;-11391400;-10071999
120499;2460401;-9753999;-7173099
176000;2393700;-7478500;-4908800
139899;1151001;-19312400;-18021500
106701;1054199;-23091501;-21930601
116700;861200;-17776600;-16798700
53401;982699;-11588800;-10552700
54201;861798;-11242398;-10326399
52600;929200;-11801800;-10820000

Mean
71910;1176929;-13423959;-12175119
