layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3598300;718300;2508100;6824700
138300;610700;2513400;3262400
107600;710200;2502700;3320500
95200;589700;2511400;3196300
82901;828900;2510900;3422701
158900;1003599;2531601;3694100
122500;736300;2515500;3374300
110300;588200;2505399;3203899
83899;626100;2519400;3229399
109799;696101;2521200;3327100
103200;651901;2593600;3348701
144100;774800;2545899;3464799
91099;645900;2539001;3276000
91000;595400;2526500;3212900
87100;602000;2504699;3193799
85800;621700;2407500;3115000
93400;591500;2423000;3107900
84200;586800;2410799;3081799
82000;591300;2413900;3087200
83700;796101;3734200;4614001

Mean
277664;678275;2561934;3517874
