layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
96001;548300;2482099;3126400
69900;589200;2494500;3153600
70699;540201;2465000;3075900
70799;515401;2476700;3062900
76901;497500;2475899;3050300
74400;592999;2568600;3235999
71601;543800;2517500;3132901
96001;523399;2465901;3085301
70999;424000;2486201;2981200
80200;548399;2475401;3104000
69599;449101;2471600;2990300
81700;500800;2462800;3045300
67399;466600;2498801;3032800
92401;452300;2470899;3015600
108000;674999;2496501;3279500
80700;617299;2472300;3170299
69101;727000;2651099;3447200
82900;515400;2462799;3061099
70200;598500;2496500;3165200
74199;527800;2472800;3074799

Mean
78685;542649;2493195;3114529
