layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
70600;894400;2960300;3925300
69801;954399;2884301;3908501
59000;966499;2874100;3899599
66900;953400;2877900;3898200
66300;1095300;2792000;3953600
53400;968401;2924100;3945901
66999;968001;2900900;3935900
45200;961899;2900501;3907600
96701;1075999;2888101;4060801
63900;961399;2982301;4007600
76900;911299;2902901;3891100
82600;902300;2879300;3864200
56400;925700;2884800;3866900
63300;932300;2962700;3958300
74099;1018101;2888699;3980899
63699;958201;2873200;3895100
69300;1804599;2867601;4741500
47999;971000;2946701;3965700
107800;936500;2800199;3844499
49800;951200;2797799;3798799

Mean
67534;1005544;2889420;3962499
