layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
18100;88300;11031500;11137900
18600;197101;9539000;9754701
19999;249800;9285001;9554800
15800;153300;9433800;9602900
15701;137700;9493099;9646500
15700;147401;9477600;9640701
15700;156300;10157099;10329099
14601;117799;9604700;9737100
15000;142100;9712200;9869300
15100;125699;9481701;9622500
14101;103800;9447300;9565201
15900;197500;9915900;10129300
19200;165601;11881999;12066800
16700;210200;10007999;10234899
16101;190699;13181099;13387899
23400;272400;11975899;12271699
18900;206900;9447800;9673600
15400;119000;9531500;9665900
17000;151800;9770299;9939099
16901;152199;10141700;10310800

Mean
16895;164279;10125859;10307034
