layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
54200;439202600;-310727400;128529400
102600;450818800;-309128500;141792900
120000;439701900;-306705500;133116400
125800;445549900;-302890500;142785200
106900;435306400;-302980800;132432500
115900;444479200;-308251500;136343600
140700;438094100;-305643400;132591400
88600;433310900;-305201100;128198400
107600;437795900;-306533400;131370100
108400;439533100;-302127700;137513800
124500;435706900;-301630900;134200500
115300;439407600;-304084300;135438600
124800;436895600;-302508400;134512000
136100;439366600;-304307500;135195200
94900;437508500;-302653500;134949900
113700;438626100;-309251000;129488800
147800;436298300;-308751500;127694600
102600;438540600;-305865500;132777700
218300;438073000;-301558800;136732500
98100;437611500;-306888300;130821300

Mean
117340;439091375;-305384475;133824240
