layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3453200;80128000;73466900;157048100
115700;82020100;72481100;154616900
120500;83114200;72923200;156157900
119500;81345600;70787700;152252800
123000;83202400;72545700;155871100
108500;80159300;72130900;152398700
118500;81802500;72597200;154518200
109700;81336200;73044400;154490300
145100;80722500;72467600;153335200
111400;79453100;71459500;151024000
116800;80916800;73820400;154854000
145600;82332000;72848800;155326400
123500;80498500;72554900;153176900
134600;78204600;72532200;150871400
118500;80512800;71980700;152612000
126600;83361800;71748200;155236600
141800;81095000;71693200;152930000
133100;79596500;72475200;152204800
142200;81453400;71540600;153136200
114700;80324300;71201100;151640100

Mean
291125;81078980;72314975;153685080
