layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
124800;147755400;73469500;221349700
171900;148481800;71506400;220160100
130800;147633300;71704400;219468500
127600;151420200;73064100;224611900
121200;148298800;72376200;220796200
121000;147864600;73267200;221252800
115000;148554500;74182000;222851500
121600;156444500;73389700;229955800
119100;150156300;70500100;220775500
121800;148433500;72639700;221195000
136100;148851700;70135800;219123600
168400;148065400;71751600;219985400
145900;150923700;71376200;222445800
149900;147547800;71421200;219118900
124300;149080300;71350100;220554700
130000;146870900;70064900;217065800
115000;148434000;72569800;221118800
156200;148476300;71177400;219809900
116500;148515900;71238900;219871300
111700;149697900;70672500;220482100

Mean
131440;149075340;71892885;221099665
