layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
64300;384400;223036900;223485600
59300;490300;223037100;223586700
27600;482300;220538700;221048600
28400;423300;226566900;227018600
27500;462100;221826000;222315600
28500;450900;226462900;226942300
28600;441600;220894400;221364600
27400;467700;223969400;224464500
28300;493800;222343700;222865800
28600;530300;224011400;224570300
28300;490000;222870200;223388500
28100;491000;222616900;223136000
29300;524600;222205900;222759800
27400;497700;223467400;223992500
28700;483700;223293000;223805400
29100;456300;222648400;223133800
29100;492500;221980900;222502500
28300;544700;224476600;225049600
27700;474900;222716600;223219200
28000;487700;224775400;225291100

Mean
31625;478490;223186935;223697050
