layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
88600;10464700;15327000;25880300
108800;8501400;15788900;24399100
111700;8586200;15142500;23840400
95500;8285300;15275300;23656100
91400;8823500;15355000;24269900
74800;9170700;15199600;24445100
74600;9054200;15280800;24409600
89100;8570400;15225100;23884600
106200;9000600;17171900;26278700
128000;8755100;15395200;24278300
106400;8498200;15507600;24112200
114200;9127700;15559900;24801800
110800;8301700;15923800;24336300
101800;8316200;15606600;24024600
148200;8379000;15436600;23963800
83000;9662000;15878300;25623300
97400;9063200;15281200;24441800
87000;8331100;14980900;23399000
101300;8965600;15092400;24159300
81500;8503100;14754100;23338700

Mean
100015;8817995;15459135;24377145
