layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
82600;24328600;29924800;54336000
181800;25280800;30213800;55676400
104500;23458300;30887700;54450500
107400;26648000;31912500;58667900
160400;24316200;30823700;55300300
102300;23943400;30878800;54924500
104000;23479100;29421100;53004200
95800;25383000;29504500;54983300
98600;27471000;30775300;58344900
148300;23588800;29876100;53613200
107700;24166800;30695000;54969500
148200;24135600;30886900;55170700
117700;23614600;29617800;53350100
98200;27170900;29971900;57241000
80100;23425100;29824100;53329300
95200;23167600;29985900;53248700
91600;26232600;30009600;56333800
106700;24069400;30415900;54592000
90200;25547400;30835900;56473500
114300;25577500;30508200;56200000

Mean
111780;24750235;30348475;55210490
