layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
4871600;6569588500;-2885578700;3688881400
130700;7363717600;-2775072200;4588776100
153400;7565676900;-2604065600;4961764700
117300;7332853800;-2810914600;4522056500
139100;7357556400;-2827445600;4530249900
135200;7483959800;-2807224600;4676870400
223000;7063464400;-2664311600;4399375800
140800;7244942200;-2881231200;4363851800
165800;7049956400;-3107217200;3942905000
152000;6936533700;-3083313000;3853372700
125500;6695318600;-2788690900;3906753200
130200;6476994700;-3776230700;2700894200
135800;6795700000;-3167115600;3628720200
136000;6579687800;-3094125200;3485698600
131500;6709367900;-2782036200;3927463200
138500;6510264200;-2910222500;3600180200
136000;6546809500;-2912522500;3634423000
145900;6554733600;-2946509000;3608370500
137100;6318740600;-3027611800;3291265900
139200;6377015300;-3434835700;2942318800

Mean
379230;6876644095;-2964313720;3912709605
