layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
47400;1998600;4275221900;4277267900
43200;2214100;4273416500;4275673800
40000;2197800;4153983000;4156220800
54300;2876200;4245435000;4248365500
41000;2156800;4321482500;4323680300
39300;2163000;4257194600;4259396900
46100;2037300;4165640100;4167723500
42000;2030700;4244768700;4246841400
47100;1991400;4493651300;4495689800
39400;2094300;4475798600;4477932300
44100;2119900;4095975600;4098139600
44100;2110500;5165296200;5167450800
48900;3025900;4475001000;4478075800
45000;2065500;4466094600;4468205100
40200;2109600;4146005400;4148155200
47900;2226600;4222033000;4224307500
43000;2128500;4256248400;4258419900
40000;1951000;4198126600;4200117600
41000;2006500;4272714300;4274761800
42500;2021500;4710360500;4712424500

Mean
43825;2176285;4345722390;4347942500
