layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3463700;19420500;-74562600;-51678400
80100;19585200;-71207700;-51542400
103800;24135100;-74271100;-50032200
84100;21399100;-70280000;-48796800
108800;20776000;-72422100;-51537300
113800;20884900;-99679200;-78680500
87300;20869000;-79054000;-58097700
102900;22117300;-78869100;-56648900
106200;20611400;-70196100;-49478500
68300;19593500;-76380300;-56718500
68400;19637500;-77335900;-57630000
59000;22360300;-76607400;-54188100
44400;19955200;-72896000;-52896400
44600;22978400;-70453200;-47430200
60600;19267500;-72148400;-52820300
56400;22450800;-74243200;-51736000
77900;19630100;-73294200;-53586200
70500;19578300;-72986000;-53337200
77200;19393000;-70572100;-51101900
73800;22751600;-71288400;-48463000

Mean
247590;20869735;-74937350;-53820025
