layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
86800;34858700;-80127700;-45182200
110400;35136500;-77371100;-42124200
123000;33655800;-74150700;-40371900
135500;35197100;-69594000;-34261400
114300;37471300;-72217700;-34632100
110500;35648800;-72459100;-36699800
129100;36916300;-70885700;-33840300
106800;34835500;-73154800;-38212500
73700;37025000;-75778100;-38679400
4000;33416800;-72328600;-38907800
61500;36243600;-71134600;-34829500
83900;37898800;-78197900;-40215200
73400;32466600;-77352000;-44812000
132900;33272500;-76433800;-43028400
113900;34462600;-74150400;-39573900
69900;37129200;-72386300;-35187200
70800;36273000;-73207900;-36864100
-17900;35382200;-77721600;-42357300
107900;37248300;-74685500;-37329300
127900;34765200;-71951600;-37058500

Mean
90915;35465190;-74264455;-38708350
