layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
41100;101137500;-145864900;-44686300
78700;101891300;-161522600;-59552600
75200;100695300;-151023200;-50252700
76600;103576600;-153830700;-50177500
119300;108381000;-148751000;-40250700
108600;108563300;-150353600;-41681700
99200;107614600;-146907600;-39193800
120000;104794400;-155415100;-50500700
80200;104010700;-146164000;-42073100
108700;108139400;-145669900;-37421800
121300;103561500;-150732500;-47049700
79000;101367100;-149125000;-47678900
105500;104096000;-145737900;-41536400
125800;105420700;-144509900;-38963400
115100;102483800;-150476700;-47877800
103000;105832300;-150691200;-44755900
108800;99727400;-150174800;-50338600
75800;101609800;-142539500;-40853900
120800;110071000;-148185600;-37993800
107400;100919800;-143621100;-42593900

Mean
98505;104194675;-149064840;-44771660
