layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
42000;177900;106229900;106449800
35300;234700;104433500;104703500
45300;257300;107745700;108048300
38600;281400;103765700;104085700
43000;266800;106022300;106332100
39600;279900;131970300;132289800
59800;379000;112379900;112818700
40600;261200;112445800;112747600
40900;260500;102339100;102640500
40100;268400;108459500;108768000
40200;358500;109456500;109855200
60000;261200;108133000;108454200
39000;295800;104164700;104499500
36200;247700;101926400;102210300
40100;270600;103514700;103825400
39300;268000;106020200;106327500
39700;312800;105478100;105830600
40300;280100;104515800;104836200
36300;240600;102888000;103164900
39200;260700;104186000;104485900

Mean
41775;273155;107303755;107618685
