layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
58700;242500;111809400;112110600
40200;314500;109653500;110008200
39400;319400;106761600;107120400
36900;337500;103550200;103924600
40700;550100;105106400;105697200
42800;312400;105949200;106304400
38500;321200;104313500;104673200
44000;332900;105883000;106259900
45900;335800;107052700;107434400
122300;321500;104078800;104522600
50800;311400;101924200;102286400
34900;306400;110096800;110438100
30700;305300;109330200;109666200
32100;325400;107824700;108182200
32300;333600;105674200;106040100
30000;323300;103666600;104019900
33600;320100;105473800;105827500
107400;369700;109118100;109595200
31800;316400;108048100;108396300
32900;396300;106036800;106466000

Mean
46295;334785;106567590;106948670
